sk_tempo,nm_grupo,dt_evento,nr_ano,nr_mes,nm_mes,nr_dia,nr_dia_semana,nm_dia_semana_extenso,nr_semestre,ds_semestre,ds_semestre_ano,nr_trimestre,ds_trimestre,nm_estacao_ano,ds_dia_util_feriado,ds_fim_semana,ds_data_extenso,dt_carga
20230328,INSIGHTHUNTERS,2023-03-28 00:00:00,2023,3,Março,28,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Terça-Feira , 28 de Março de 2023",2025-05-24 23:26:21
20230329,INSIGHTHUNTERS,2023-03-29 00:00:00,2023,3,Março,29,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quarta-Feira , 29 de Março de 2023",2025-05-24 23:26:21
20230330,INSIGHTHUNTERS,2023-03-30 00:00:00,2023,3,Março,30,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quinta-Feira , 30 de Março de 2023",2025-05-24 23:26:21
20230331,INSIGHTHUNTERS,2023-03-31 00:00:00,2023,3,Março,31,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Sexta-Feira , 31 de Março de 2023",2025-05-24 23:26:21
20230401,INSIGHTHUNTERS,2023-04-01 00:00:00,2023,4,Abril,1,7,Sábado,1,1º Semestre,1º Semestre/2023,2,2º Trimestre,Outono,FIM DE SEMANA,SIM,"Sábado , 1 de Abril de 2023",2025-05-24 23:26:21
20230402,INSIGHTHUNTERS,2023-04-02 00:00:00,2023,4,Abril,2,1,Domingo,1,1º Semestre,1º Semestre/2023,2,2º Trimestre,Outono,FIM DE SEMANA,SIM,"Domingo , 2 de Abril de 2023",2025-05-24 23:26:21
20230403,INSIGHTHUNTERS,2023-04-03 00:00:00,2023,4,Abril,3,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,2,2º Trimestre,Outono,DIA ÚTIL,NÃO,"Segunda-Feira , 3 de Abril de 2023",2025-05-24 23:26:21
20230404,INSIGHTHUNTERS,2023-04-04 00:00:00,2023,4,Abril,4,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,2,2º Trimestre,Outono,DIA ÚTIL,NÃO,"Terça-Feira , 4 de Abril de 2023",2025-05-24 23:26:21
20230405,INSIGHTHUNTERS,2023-04-05 00:00:00,2023,4,Abril,5,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,2,2º Trimestre,Outono,DIA ÚTIL,NÃO,"Quarta-Feira , 5 de Abril de 2023",2025-05-24 23:26:21
20230406,INSIGHTHUNTERS,2023-04-06 00:00:00,2023,4,Abril,6,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,2,2º Trimestre,Outono,DIA ÚTIL,NÃO,"Quinta-Feira , 6 de Abril de 2023",2025-05-24 23:26:21
